Pop_ID,Population,Code,seed_zone,treatment,use,block,ID,tag,plant_date,flower_date,death_date,days_until_flower,days_until_mortality ,length_cm_20220323,length_cm_20220608,survival_20220518,survival_20220608,survival_20220608_ex_replacements,notes_20220608,replaced_YorN,Replacement,Notes,length_cm_20220719,survival_20220719,Notes 20220719,flower_Y_N_20220823,phenology_20220823,flower_Y_N_20220909,phenology_20220909,survival_20220909,length_cm_20220915,flower_Y_N_20220915,phenology_20220915,survival_20220915,notes_20220915,flowering_Y_N_20221108,phenology_20221108,survival_20221108,TissueCollected
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_46,15 - 20 Deg. F. / 3 - 6 ,wet,field,6,634,,4/20/22,,,,,10.5,13.1,1,1,1,,,,,16.8,1,,0,2,0,2,1,32.6,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_26,15 - 20 Deg. F. / 3 - 6 ,wet,field,6,644,,4/20/22,,,,,11.6,17.3,1,1,1,,,,,26.5,1,,0,2,0,2,1,51,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_36,15 - 20 Deg. F. / 3 - 6 ,wet,field,6,655,,4/20/22,,,,,9,16.4,1,1,1,,,,,31.6,1,,0,2,0,2,1,51.1,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_06,15 - 20 Deg. F. / 3 - 6 ,wet,field,6,659,,4/20/22,9/9/22,,142,,10.5,13.6,1,1,1,,,,,32.4,1,,0,2,1,3,1,46.7,1,3,,,1,3,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_07,15 - 20 Deg. F. / 3 - 6 ,dry,field,7,699,,4/20/22,,,,,10.6,14,1,1,1,,,,,31.2,1,,0,2,0,2,1,49.1,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_17,15 - 20 Deg. F. / 3 - 6 ,dry,field,7,719,,4/20/22,,,,,11.9,14.9,1,1,1,,,,,31.4,1,,0,2,0,2,1,65.4,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_37,15 - 20 Deg. F. / 3 - 6 ,dry,field,7,734,,4/20/22,,,,,10.7,17,1,1,1,,,,,31,1,,0,2,0,2,1,46.6,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_57,15 - 20 Deg. F. / 3 - 6 ,dry,field,7,735,,4/20/22,,,,,11,17.4,1,1,1,,,,,30.3,1,,0,2,0,2,1,49.3,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_47,15 - 20 Deg. F. / 3 - 6 ,dry,field,7,742,,4/20/22,,,,,12.8,19.8,1,1,1,,,,,34.9,1,,0,2,0,2,1,58.1,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_27,15 - 20 Deg. F. / 3 - 6 ,dry,field,7,771,,4/20/22,,,,,10.3,13.2,1,1,1,,,,,27.1,1,,0,2,0,2,1,57.6,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_28,15 - 20 Deg. F. / 3 - 6 ,wet,field,8,811,103,4/20/22,,,,,11.6,10.7,1,1,1,,,,,19.1,1,,0,2,0,2,1,42.4,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_58,15 - 20 Deg. F. / 3 - 6 ,wet,field,8,851,105,4/20/22,,,,,11.7,17.3,1,1,1,,,,,32,1,,0,2,0,2,1,46.9,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_08,15 - 20 Deg. F. / 3 - 6 ,wet,field,8,862,,4/20/22,,6/8/22,,49,7.8,,1,0,0,,,,,,0,,,,,,0,,,,0,,,,0,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_38,15 - 20 Deg. F. / 3 - 6 ,wet,field,8,868,,4/20/22,9/15/22,,148,,8.6,5.6,1,1,1,,,,,35.9,1,,0,2,0,2,1,72.3,1,3,,,1,3,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_48,15 - 20 Deg. F. / 3 - 6 ,wet,field,8,874,,4/20/22,,,,,12.7,15.1,1,1,1,,,,,27.9,1,,0,2,0,2,1,49.6,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_18,15 - 20 Deg. F. / 3 - 6 ,wet,field,8,894,,4/20/22,,,,,12.5,18.1,1,1,1,,,,,28.4,1,,0,2,0,2,1,39.4,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_09,15 - 20 Deg. F. / 3 - 6 ,dry,field,9,937,,4/20/22,,,,,7.6,12.5,1,1,1,,,,,29.8,1,,0,2,0,2,1,49.8,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_39,15 - 20 Deg. F. / 3 - 6 ,dry,field,9,946,116,4/20/22,,,,,11.6,14.5,1,1,1,,,,,27.1,1,,0,2,0,2,1,45.9,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_29,15 - 20 Deg. F. / 3 - 6 ,dry,field,9,954,,4/20/22,,,,,11.4,12.3,1,1,1,,,,,20.8,1,,0,2,0,2,1,42.5,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_19,15 - 20 Deg. F. / 3 - 6 ,dry,field,9,968,,4/20/22,,,,,11.3,16.5,1,1,1,,,,,34,1,,0,2,0,2,1,53.1,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_59,15 - 20 Deg. F. / 3 - 6 ,dry,field,9,970,,4/20/22,,7/19/22,,90,9.4,8.2,1,1,1,,,,,,0,,,,,,0,,,,0,,,,0,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_49,15 - 20 Deg. F. / 3 - 6 ,dry,field,9,994,,4/20/22,,,,,10.3,14.5,1,1,1,,,,,30.1,1,,0,2,0,2,1,64.2,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_20,15 - 20 Deg. F. / 3 - 6 ,wet,field,10,1044,133,4/20/22,,,,,8.5,13.3,1,1,1,,,,,27.6,1,,0,2,0,2,1,40,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_40,15 - 20 Deg. F. / 3 - 6 ,wet,field,10,1053,,4/20/22,,6/8/22,,49,11.9,,1,0,0,,,,,,0,,,,,,0,,,,0,,,,0,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_85,15 - 20 Deg. F. / 3 - 6 ,wet,field,10,1058,,4/20/22,,,,,10.4,10.5,0,1,,,Y,ERNA-CO932-290-11_85,,20.4,1,,0,2,0,2,1,49.2,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_30,15 - 20 Deg. F. / 3 - 6 ,wet,field,10,1083,,4/20/22,,,,,9.7,10,1,1,1,,,,,20.1,1,,0,2,0,2,1,40.2,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_10,15 - 20 Deg. F. / 3 - 6 ,wet,field,10,1117,,4/20/22,9/15/22,,148,,11.7,11.8,1,1,1,,,,,28.2,1,,0,2,0,2,1,53.7,1,3,,,1,3,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_60,15 - 20 Deg. F. / 3 - 6 ,wet,field,10,1122,,4/20/22,,,,,10.7,11.5,1,1,1,,,,,24.5,1,,0,2,0,2,1,43.9,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_41,15 - 20 Deg. F. / 3 - 6 ,dry,field,1,4,,4/20/22,,,,,11.4,13,1,1,1,,,,,28.9,1,,0,2,0,2,1,46.6,0,2,,,0,2,1,Y
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_31,15 - 20 Deg. F. / 3 - 6 ,dry,field,1,40,3,4/20/22,,7/19/22,,90,11.1,16.4,1,1,1,,,,,,0,,,,,,0,,,,0,,,,0,N
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_92,15 - 20 Deg. F. / 3 - 6 ,dry,field,1,78,,4/20/22,,,,,12.3,,0,0,NA,,Y,ERNA-CO932-292-11_92,,17.6,1,,0,2,0,2,1,36.3,0,2,,,0,2,1,Y
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_11,15 - 20 Deg. F. / 3 - 6 ,dry,field,1,97,,4/20/22,,,,,13.4,20.8,1,1,1,,,,,35.6,1,,0,2,0,2,1,40.8,0,2,,,0,2,1,Y
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_01,15 - 20 Deg. F. / 3 - 6 ,dry,field,1,106,,4/20/22,,,,,14.5,16.7,1,1,1,,,,,25.2,1,,0,2,0,2,1,43.6,0,2,,,0,2,1,Y
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_21,15 - 20 Deg. F. / 3 - 6 ,dry,field,1,110,12,4/20/22,,,,,12.9,17.9,1,1,1,,,,,34.7,1,,0,2,0,2,1,52.6,0,2,,,0,2,1,Y
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_52,15 - 20 Deg. F. / 3 - 6 ,wet,field,2,120,16,4/20/22,,,,,10.4,16.2,1,1,1,,,,,30.5,1,,0,2,0,2,1,45.2,0,2,,,0,2,1,Y
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_12,15 - 20 Deg. F. / 3 - 6 ,wet,field,2,143,,4/20/22,,,,,13.4,15.3,1,1,1,,,,,33,1,,0,2,0,2,1,51.2,0,2,,,0,2,1,Y
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_42,15 - 20 Deg. F. / 3 - 6 ,wet,field,2,156,,4/20/22,,,,,13.5,18.6,1,1,1,,,,,30.7,1,,0,2,0,2,1,59.2,0,2,,,0,2,1,Y
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_02,15 - 20 Deg. F. / 3 - 6 ,wet,field,2,164,,4/20/22,,,,,11.6,14.9,1,1,1,,,,,32.5,1,,0,2,0,2,1,64.7,0,2,,,0,2,1,Y
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_63,15 - 20 Deg. F. / 3 - 6 ,wet,field,2,209,,4/20/22,,,,,10.3,,0,0,NA,,Y,ERNA-CO932-292-11_63,,16.9,1,,0,2,0,2,1,31.1,0,2,,,0,2,1,Y
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_22,15 - 20 Deg. F. / 3 - 6 ,wet,field,2,223,,4/20/22,,,,,10.7,14.3,1,1,1,,,,,31.6,1,,0,2,0,2,1,49.6,0,2,,,0,2,1,Y
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_13,15 - 20 Deg. F. / 3 - 6 ,dry,field,3,228,,4/20/22,11/8/22,,202,,11.9,11.2,1,1,1,,,,,24.6,1,bud,0,2,0,2,1,47.1,0,2,,,1,3,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_43,15 - 20 Deg. F. / 3 - 6 ,dry,field,3,269,,4/20/22,,,,,8.4,12.9,1,1,1,,,,,31.4,1,,0,2,0,2,1,61,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_23,15 - 20 Deg. F. / 3 - 6 ,dry,field,3,292,,4/20/22,,,,,13.9,13.4,1,1,1,,,,,32.2,1,,0,2,0,2,1,57.6,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_03,15 - 20 Deg. F. / 3 - 6 ,dry,field,3,301,39,4/20/22,9/9/22,,142,,14.4,14.8,1,1,1,,,,,31.6,1,,0,2,1,3,1,52.5,1,3,,,1,3,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_53,15 - 20 Deg. F. / 3 - 6 ,dry,field,3,303,,4/20/22,,,,,10.3,16.9,1,1,1,,,,,31.6,1,,0,2,0,2,1,45.5,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_33,15 - 20 Deg. F. / 3 - 6 ,dry,field,3,339,,4/20/22,,,,,9.4,11.3,1,1,1,,,,,21,1,,0,2,0,2,1,36.8,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_24,15 - 20 Deg. F. / 3 - 6 ,wet,field,4,357,,4/20/22,,,,,11.7,13.9,1,1,1,,,,,33.1,1,,0,2,0,2,1,60.8,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_71,15 - 20 Deg. F. / 3 - 6 ,wet,field,4,367,,4/20/22,,,,,6.7,,0,1,,dead 6/9,Y,ERNA-CO932-292-11_71,,13.4,1,,0,2,0,2,1,31.2,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_54,15 - 20 Deg. F. / 3 - 6 ,wet,field,4,379,,4/20/22,,,,,9.8,16.3,1,1,1,,,,,32.2,1,,0,2,0,2,1,62.5,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_44,15 - 20 Deg. F. / 3 - 6 ,wet,field,4,386,46,4/20/22,,,,,5.5,11,1,1,1,,,,,29.1,1,,0,2,0,2,1,50.6,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_62,15 - 20 Deg. F. / 3 - 6 ,wet,field,4,413,,4/20/22,,7/19/22,,90,7.7,,0,0,NA,,Y,ERNA-CO932-292-11_62,,,0,,,,,,0,,,,0,,,,0,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_14,15 - 20 Deg. F. / 3 - 6 ,wet,field,4,446,53,4/20/22,,,,,10,16.8,1,1,1,,,,,30.1,1,,0,2,0,2,1,54.4,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_45,15 - 20 Deg. F. / 3 - 6 ,dry,field,5,493,,4/20/22,,,,,14.2,19,1,1,1,,,,,29.8,1,,0,2,0,2,1,55.6,0,2,,,0,2,1,
