Pop_code,Population,Treatment,Block,Code,seed_zone,ID,plant_date,death_date,flower_date,days_until_mortality,days_until_flowering,length_cm_20220531,survival_20220531,Notes,replaced_Y_N,replaced_with_20220606,length_cm 20220627,flowering_Y_N_20220627,phenology_20220627,survival_20220627,notes_20220627,flowering_Y_N_20220701,phenology_20220701,survival_20220701,notes_20220701,flowering_Y_N_20220705,phenology_20220705,num_infl_20220705,survival_20220705,notes_20220705,flowering_Y_N_20220713,phenology_20220713,num_infl_20220713,survival_20220713,notes_20220713,flowering_Y_N_20220718,phenology_20220718,num_infl_20220718,survival_20220718,notes_20220718,flowering_Y_N_20220725,phenology_20220725,num_infl_20220725,survival_20220725,notes_20220725,length_cm_20220801,survival_20220801,flowering_Y_N_20220801,phenology_20220801,num_inf_20220801,notes_20220801,flowering_Y_N_20220809,phenology_20220809,survival_20220809,flowering_Y_N_20220818,phenology_20220818,survival_20220818,notes,flowering_Y_N_20220829,phenology_20220829,survival_20220829,notes _20220829,bagged_20220829,flowering_Y_N_20220915,phenology_20220915,survival_20220915,num_inf_20220927,flowering_Y_N_20220927,phenology_20220927,survival_20220927,notes _20220927,Bagged,NumInf_coll_20220927,NumInf_coll_20221014,NumInf_coll_20221108
NM1,BOGR-NM080-67-CHAVES-16,dry ,1,BOGR-NM080-67-CHAVES-16_56,15 - 20 Deg. F. / 3 - 6 ,620,5/12/22,,7/13/22,,62,8.4,1,,,,11,0,2,1,,0,2,1,,0,2,,1,,1,3,4,1,2 buds,0,2,,1,,0,2,,1,,18.6,1,0,2,,,0,2,1,0,2,1,,1,3,1,,,1,3,1,21,1,3,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,dry ,1,BOGR-NM080-67-CHAVES-16_26,15 - 20 Deg. F. / 3 - 6 ,639,5/12/22,,8/29/22,,109,7.1,1,,,,14.6,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,23,1,0,2,,,0,2,1,0,2,1,,1,3,1,,,1,3,1,46,1,3,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,dry ,1,BOGR-NM080-67-CHAVES-16_36,15 - 20 Deg. F. / 3 - 6 ,657,5/12/22,,7/18/22,,67,7.3,1,,,,18.5,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,1 bud,1,3,6,1,,1,3,7,1,,35.5,1,1,3,17,,1,3,1,1,3,1,,1,6,1,,,1,6,1,160,1,6,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,dry ,1,BOGR-NM080-67-CHAVES-16_46,15 - 20 Deg. F. / 3 - 6 ,673,5/12/22,,8/1/22,,81,14,1,,,,13.4,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,24.9,1,1,3,1,,1,3,1,1,3,1,,1,3,1,,,1,3,1,76,1,3,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,dry ,1,BOGR-NM080-67-CHAVES-16_07,15 - 20 Deg. F. / 3 - 6 ,690,5/12/22,,,,,16,1,,,,12.3,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,13.1,1,0,2,,,0,2,1,0,2,1,,0,2,1,,,0,2,1,,0,2,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,wet,2,BOGR-NM080-67-CHAVES-16_47,15 - 20 Deg. F. / 3 - 6 ,695,5/12/22,,,,,13,1,,,,11.8,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,16.4,1,0,2,,,0,2,1,0,2,1,,0,2,1,,,0,2,1,,0,2,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,wet,2,BOGR-NM080-67-CHAVES-16_17,15 - 20 Deg. F. / 3 - 6 ,699,5/12/22,,7/25/22,,74,9,1,,,,7.8,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,1,3,2,1,,20.8,1,1,3,5,,1,3,1,1,3,1,,1,3,1,,,1,5,1,,1,6,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,wet,2,BOGR-NM080-67-CHAVES-16_27,15 - 20 Deg. F. / 3 - 6 ,710,5/12/22,,8/29/22,,109,12.7,1,,,,19.9,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,bud,26.1,1,0,2,,,0,2,1,0,2,1,,1,3,1,,,1,3,1,,1,3,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,wet,2,BOGR-NM080-67-CHAVES-16_37,15 - 20 Deg. F. / 3 - 6 ,737,5/12/22,,8/9/22,,89,9.5,1,,,,10.5,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,20.4,1,0,2,,,1,3,1,1,3,1,,1,3,1,,,1,3,1,,1,3,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,wet,2,BOGR-NM080-67-CHAVES-16_57,15 - 20 Deg. F. / 3 - 6 ,768,5/12/22,,7/25/22,,74,12,1,,,,12.2,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,1,3,1,1,,29.9,1,1,3,11,,1,3,1,1,3,1,,1,5,1,,,1,5,1,,1,5,1,,,,,
